Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	0.4200001	6	0.03				Male		
False	-0.3900001	6	0.03				Male		
True	0.3600001	7	0.03				Male		
True	-0.3300001	8	0.03				Male		
True	0.36	1	0.018				Male		
False	-0.342	1	0.018				Male		
False	0.324	1	0.018				Male		
False	-0.306	1	0.018				Male		
False	0.288	1	0.018				Male		
True	-0.27	2	0.018				Male		
False	0.252	2	0.018				Male		
True	-0.234	3	0.018				Male		
False	0.216	3	0.018				Male		
True	-0.198	4	0.018				Male		
True	0.1	1	0.05				Male		
True	-0.095	2	0.05				Male		
False	0.09	2	0.05				Male		
True	-0.085	3	0.05				Male		
True	0.08	4	0.05				Male		
True	-0.075	5	0.05				Male		
True	0.06999999	6	0.05				Male		
True	-0.06499999	7	0.05				Male		
False	0.05999999	7	0.05				Male		
True	-0.05499999	8	0.05				Male		
True	0.06	1	0.03				Male		
True	-0.05700001	2	0.03				Male		
False	0.05400001	2	0.03				Male		
True	-0.05100001	3	0.03				Male		
True	0.04800001	4	0.03				Male		
True	-0.04500001	5	0.03				Male		
True	0.04200001	6	0.03				Male		
False	-0.03900001	6	0.03				Male		
True	0.03600001	7	0.03				Male		
False	-0.03300001	7	0.03				Male		
False	0.036	0	0.018				Male		
True	-0.0342	1	0.018				Male		
False	0.0324	1	0.018				Male		
False	-0.0306	1	0.018				Male		
True	0.0288	2	0.018				Male		
False	-0.027	2	0.018				Male		
False	0.0252	2	0.018				Male		
False	-0.0234	2	0.018				Male		
False	0.0216	2	0.018				Male		
True	-0.0198	3	0.018				Male		
False	0.036	0	0.018				Male		
True	-0.0342	1	0.018				Male		
True	0.0324	2	0.018				Male		
True	-0.0306	3	0.018				Male		
True	0.0288	4	0.018				Male		
False	-0.027	4	0.018				Male		
False	0.0252	4	0.018				Male		
False	-0.0234	4	0.018				Male		
False	0.0216	4	0.018				Male		
True	-0.0198	5	0.018				Male		
False	0.036	0	0.018				Male		
True	-0.0342	1	0.018				Male		
False	0.0324	1	0.018				Male		
False	-0.0306	1	0.018				Male		
False	0.0288	1	0.018				Male		
False	-0.027	1	0.018				Male		
True	0.0252	2	0.018				Male		
True	-0.0234	3	0.018				Male		
True	0.0216	4	0.018				Male		
True	-0.0198	5	0.018				Male		
True	0.036	1	0.018				Male		
False	-0.0342	1	0.018				Male		
True	0.0324	2	0.018				Male		
False	-0.0306	2	0.018				Male		
True	0.0288	3	0.018				Male		
False	-0.027	3	0.018				Male		
False	0.0252	3	0.018				Male		
True	-0.0234	4	0.018				Male		
False	0.0216	4	0.018				Male		
True	-0.0198	5	0.018				Male		
False	0.1	0	0.05				Male		
False	0.1	0	0.05				Male		
False	-0.095	0	0.05				Male		
True	0.09	1	0.05				Male		
False	0.1	0	0.05				Male		
True	-0.095	1	0.05				Male		
